size_class,NN
S,19
L,20
L,56
L,15
S,19
L,32
S,45
S,55
L,53
S,27
L,58
S,28
L,22
L,36
S,54
L,36
S,54
L,19
L,19
S,42
L,52
S,41
L,33
S,30
L,52
S,48
L,19
S,13
S,40
L,65
S,5
L,30
L,30
S,24
L,20
L,42
S,15
L,49
S,33
L,40
S,31
S,58
L,79
S,19
L,25
S,70
L,17
L,29
L,20
S,34
L,20
L,44
S,29
L,30
S,31
L,41
S,31
L,41
S,40
L,36
S,6
L,28
S,28
L,23
S,60
L,35
S,5
S,20
L,26
L,34
S,18
L,20
S,14
S,36
L,57
S,3
L,40
S,40
L,37
S,39
L,24
S,32
L,44
S,2
L,46
S,45
L,36
S,36
S,30
L,27
S,25
L,32
S,35
L,40
S,35
L,61
S,36
L,61
S,20
L,40
S,59
L,58
S,43
L,29
S,3
L,41
S,12
L,16
S,15
L,19
S,29
L,39
S,7
L,37
S,4
L,22
S,12
L,24
S,25
S,10
S,14
S,22
S,36
S,25
S,5
S,27
S,44
S,32
S,30
S,26
S,29
S,52
S,24
L,42
L,26
L,17
L,37
L,24
L,35
L,19
L,27
L,24
L,20
M2,27
M2,25
M2,11
M2,25
M2,23
M2,13
M2,22
M2,25
M2,21
M2,26
M2,19
M2,15
M2,31
M2,19
M2,37
M2,23
M2,15
M2,11
M2,25
M2,82
M2,53
M2,54
M2,11
M2,22
M2,26
M2,13
M2,13
M2,10
M2,25
M2,35
M2,26
M2,31
M2,19
M2,17
M2,17
M2,27
M2,21
M2,19
M2,28
M2,13
M2,25
M2,10
M2,27
M2,29
M2,26
M2,19
M2,19
M2,14
M2,10
M2,14
M2,24
M2,11
M2,60
M2,30
M2,11
M2,18
M2,16
M2,16
M2,38
M2,24
M2,14
M2,27
M2,35
M2,36
M2,35
M2,11
M2,55
M2,34
M2,35
M2,22
M2,15
M2,33
M2,31
M2,22
M2,31
M2,22
M2,9
M2,21
M2,24
M2,21
M2,18
M2,20
S,21
S,25
S,74
S,24
S,12
S,11
S,7
S,25
S,22
S,15
S,4
S,30
S,30
S,17
M2,8
M2,27
M2,40
M2,15
M2,24
M2,13
M2,8
M2,10
M2,16
M2,16
M2,46
M2,30
M2,25
M2,12
M2,21
M2,31
M2,14
M2,20
L,23
L,16
L,21
L,17
L,27
L,22
L,30
L,20
L,16
L,27
L,18
L,32
L,21
L,30
L,21
L,20
L,24
L,22
S,10
S,35
S,56
S,45
S,3
S,14
S,22
S,37
S,36
S,12
S,38
S,16
S,45
S,34
L,29
L,13
L,31
L,27
L,25
L,23
L,33
L,54
L,22
L,25
M1,6
M1,36
M1,12
M1,20
M1,56
M1,20
M1,12
M1,23
M1,28
M1,8
M1,53
M3,32
M3,11
M3,19
M3,30
M3,44
M3,31
M3,17
M3,30
M3,32
M3,58
M3,12
M1,28
M1,28
M1,10
M1,33
M1,43
M1,46
M1,68
M1,18
M1,10
M1,19
M1,26
M1,5
M1,29
M1,10
M1,23
M3,25
M3,18
M3,12
M3,12
M3,29
M3,28
M3,30
M3,68
M3,35
M3,23
M3,37
M3,37
M3,17
M3,20
L,19
M1,22
M1,15
M1,23
M1,24
M1,32
M1,6
M1,12
M1,14
M1,36
M1,33
M1,7
M1,12
M1,9
M1,19
M1,30
M1,15
M1,48
M1,19
M1,21
M1,33
M1,26
M1,21
M1,66
M1,31
M3,37
M3,60
M3,31
M3,35
M3,31
M3,31
M3,15
M3,16
M3,12
M3,63
M3,42
M3,47
M3,34
M3,49
M3,22
M3,17
M3,23
M3,10
M3,39
M3,30
M3,33
M3,39
M3,24
M3,15
M1,17
M1,6
M1,5
M1,34
M1,53
M1,12
M1,18
M1,8
M1,28
M1,47
M1,28
M1,25
M1,11
M1,25
M1,13
M1,43
M1,4
M1,13
M1,15
M1,27
M3,64
M3,59
M3,48
M3,36
M3,14
M3,45
M3,34
M3,37
M3,60
M3,19
M3,42
M3,40
M3,25
M3,42
M3,38
M3,34
M3,21
M3,50
M3,47
M3,15
M1,46
M1,26
M1,33
M1,47
M1,17
M1,25
M1,14
M1,30
M1,46
M1,9
M1,4
M1,30
M1,6
M1,24
M1,29
M1,22
M1,8
M1,10
M1,16
M3,33
M3,36
M3,39
M3,45
M3,58
M3,42
M3,33
M3,18
M3,23
M3,24
M3,13
M3,42
M3,29
M3,36
M3,57
M3,14
M3,42
M3,27
M3,22
M1,39
M1,33
M1,11
M1,37
M1,18
M1,29
M1,10
M1,39
M1,54
M1,12
M1,5
M3,29
M3,54
M3,28
M3,36
M3,17
M3,29
M3,36
M3,51
M3,56
M3,45
M3,47
M3,49
