quadrat,diameter1,diameter2,genus
1,6,4,pocillopora
1,8,7,pocillopora
1,16,13,pocillopora
1,11,14,pocillopora
1,8,9,pocillopora
1,13,12,pocillopora
1,15,13,pocillopora
1,7,6,pocillopora
1,5,4,pocillopora
1,7,10,pocillopora
1,17,13,pocillopora
1,2,2,pocillopora
1,19,17,pocillopora
1,5,4,pocillopora
1,5,7,pocillopora
1,7,4,pocillopora
1,5,5,pocillopora
1,3,3,pocillopora
1,18,14,pocillopora
1,9,9,pocillopora
1,14,12,pocillopora
1,4.5,3,pocillopora
1,12,8,pocillopora
1,6,5,pocillopora
1,4,2,pocillopora
1,2,3,pocillopora
1,2,2,pocillopora
1,7,6,pocillopora
1,4,5,pocillopora
2,15,17,pocillopora
2,18,17,pocillopora
2,14,15,pocillopora
2,15,10,pocillopora
2,19,12,pocillopora
2,12,8,pocillopora
2,12,13,pocillopora
2,8,5,pocillopora
2,10,10,pocillopora
2,12,11,pocillopora
2,13,14.5,pocillopora
2,25,17,pocillopora
2,18.5,11.5,pocillopora
2,12.5,19,pocillopora
2,11.5,12.5,pocillopora
2,10.5,8.5,pocillopora
2,9.5,12,pocillopora
2,5.5,5,pocillopora
2,18,12.5,pocillopora
2,20,20.5,pocillopora
2,13,11,pocillopora
2,12.5,16,pocillopora
2,9.5,6.5,pocillopora
2,12.5,8,pocillopora
2,11.5,7,pocillopora
2,7.5,6,pocillopora
2,4.5,4,pocillopora
2,3.5,3,pocillopora
2,5.5,4,pocillopora
2,6,4.5,pocillopora
3,20,18,pocillopora
3,7.5,6.5,pocillopora
3,5.5,5,pocillopora
3,12,10,pocillopora
3,13,8,pocillopora
3,12.5,13,pocillopora
3,12,11,pocillopora
3,15,15,pocillopora
3,12.5,10.5,pocillopora
3,16.5,12.5,pocillopora
3,10,10.5,pocillopora
3,8,8.5,pocillopora
3,19,16,pocillopora
3,19,12,pocillopora
3,4,3,pocillopora
3,9.5,9,pocillopora
3,7,6,pocillopora
3,10,14.5,pocillopora
3,12,14.5,pocillopora
3,7.5,9,pocillopora
3,14,13,pocillopora
3,9.5,8.5,pocillopora
3,21,16,pocillopora
3,7.5,5,pocillopora
3,11.5,8,pocillopora
3,19,12.5,pocillopora
3,2.5,3.5,pocillopora
3,11,11.5,pocillopora
3,4.5,4.5,pocillopora
3,29,22,pocillopora
3,6.5,5.5,pocillopora
4,2.5,2,pocillopora
4,2.5,1.5,pocillopora
4,8.5,10.5,pocillopora
4,4,5,pocillopora
4,9,5,pocillopora
4,3.5,4,pocillopora
4,3.5,2.5,pocillopora
4,4.5,6.5,pocillopora
4,7.5,5.5,pocillopora
4,20,16,pocillopora
4,5.5,4.5,pocillopora
4,9.5,9.5,pocillopora
4,3,3.5,pocillopora
4,5.5,4,pocillopora
4,5,5.5,pocillopora
4,9,8.5,pocillopora
4,11.5,12,pocillopora
4,9,12.5,pocillopora
4,7.5,5,pocillopora
4,9,7,pocillopora
4,16.5,14,pocillopora
4,18.5,13.5,pocillopora
4,8.5,10,pocillopora
4,18.5,18,pocillopora
4,4,3,pocillopora
5,20.5,18.5,pocillopora
5,11.5,10.5,pocillopora
5,16,12,pocillopora
5,8.5,13,pocillopora
5,7,5,pocillopora
5,14.5,13.5,pocillopora
5,7.5,4,pocillopora
5,8,5.5,pocillopora
5,24.5,15,pocillopora
5,16.5,14.5,pocillopora
5,8,6.5,pocillopora
5,5,3.5,pocillopora
5,7,7,pocillopora
5,6,8,pocillopora
5,2.5,3.5,pocillopora
5,3.5,2,pocillopora
5,4,3,pocillopora
5,5,3.5,pocillopora
5,9.5,8,pocillopora
5,10.5,8.5,pocillopora
5,13.5,14.5,pocillopora
6,12.5,11.5,pocillopora
6,11.5,9.5,pocillopora
6,8,7.5,pocillopora
6,6,7,pocillopora
6,24,20,pocillopora
6,11,8,pocillopora
6,17.5,21.5,pocillopora
6,8,9,pocillopora
6,13.5,9.5,pocillopora
6,13.5,12.5,pocillopora
6,14,19,pocillopora
6,16.5,11.5,pocillopora
6,18.5,19,pocillopora
6,14.5,11,pocillopora
6,10.5,12.5,pocillopora
6,11,8,pocillopora
6,3.5,3.5,pocillopora
6,5,4,pocillopora
6,2.5,2,pocillopora
6,8.5,7,pocillopora
6,3.5,3,pocillopora
6,3.5,3.5,pocillopora
6,3.5,2,pocillopora
6,28.5,21,pocillopora
6,3,2,pocillopora
6,7,5,pocillopora
7,2,2,pocillopora
7,24.5,17,pocillopora
7,6,8,pocillopora
7,8,7.5,pocillopora
7,7,6,pocillopora
7,6,4,pocillopora
7,4.5,3,pocillopora
7,9,5.5,pocillopora
7,8,7.5,pocillopora
7,14.5,12,pocillopora
7,18,15.5,pocillopora
7,15,15.5,pocillopora
7,24,17,pocillopora
7,13,10,pocillopora
7,8.5,8,pocillopora
7,12,9.5,pocillopora
7,19,15.5,pocillopora
7,4,4,pocillopora
7,10,10,pocillopora
7,2,2.5,pocillopora
7,22,15.5,pocillopora
7,13.5,11,pocillopora
7,17.5,20.5,pocillopora
7,18,21,pocillopora
7,11.5,10,pocillopora
7,18,16,pocillopora
7,17,13,pocillopora
7,15.5,12.5,pocillopora
7,6,6,pocillopora
8,23,17,pocillopora
8,3.5,3.5,pocillopora
8,13.5,9,pocillopora
8,2.5,2.5,pocillopora
8,14,16.5,pocillopora
8,6,6.5,pocillopora
8,7,7,pocillopora
8,14.5,9.5,pocillopora
8,8,8.5,pocillopora
8,11,13,pocillopora
8,9.5,11.5,pocillopora
8,17,18.5,pocillopora
8,6.5,5,pocillopora
8,8.5,6.5,pocillopora
8,22.5,16,pocillopora
8,7.5,5,pocillopora
8,14,10,pocillopora
8,8,7,pocillopora
8,14,10.5,pocillopora
8,9,5,pocillopora
8,14,13.5,pocillopora
8,9.5,7.5,pocillopora
8,10,8,pocillopora
8,8,5.5,pocillopora
8,10.5,14,pocillopora
8,11.5,11,pocillopora
8,5,5,pocillopora
8,16.5,16,pocillopora
8,9.5,8,pocillopora
8,17.5,17,pocillopora
8,15,9,pocillopora
8,11,7,pocillopora
8,23,18.5,pocillopora
8,15,12,pocillopora
8,11.5,9.5,pocillopora
8,17,17.5,pocillopora
8,4,4.5,pocillopora
8,4,3,pocillopora
9,13,11.5,pocillopora
9,18.5,15,pocillopora
9,7,7.5,pocillopora
9,13,10,pocillopora
9,16,14.5,pocillopora
9,11,18,pocillopora
9,4,3,pocillopora
9,15.5,17,pocillopora
9,15,13.5,pocillopora
9,10,11,pocillopora
9,5,5,pocillopora
9,22,15,pocillopora
9,7.5,6,pocillopora
9,9.5,9,pocillopora
9,13,9.5,pocillopora
9,6,7.5,pocillopora
